U+1F422	\xF0\x9F\x90\xA2
U+1F423	\xF0\x9F\x90\xA3
U+1F424	\xF0\x9F\x90\xA4
U+1F425	\xF0\x9F\x90\xA5
U+1F426	\xF0\x9F\x90\xA6
U+1F427	\xF0\x9F\x90\xA7
U+1F428	\xF0\x9F\x90\xA8
U+1F429	\xF0\x9F\x90\xA9
U+1F42B	\xF0\x9F\x90\xAB
U+1F42C	\xF0\x9F\x90\xAC
U+1F42D	\xF0\x9F\x90\xAD
U+1F42E	\xF0\x9F\x90\xAE
U+1F42F	\xF0\x9F\x90\xAF
U+1F430	\xF0\x9F\x90\xB0
U+1F431	\xF0\x9F\x90\xB1
U+1F432	\xF0\x9F\x90\xB2
U+1F433	\xF0\x9F\x90\xB3
U+1F434	\xF0\x9F\x90\xB4
U+1F435	\xF0\x9F\x90\xB5
U+1F436	\xF0\x9F\x90\xB6
U+1F437	\xF0\x9F\x90\xB7
U+1F438	\xF0\x9F\x90\xB8
U+1F439	\xF0\x9F\x90\xB9
U+1F43A	\xF0\x9F\x90\xBA
U+1F43B	\xF0\x9F\x90\xBB
U+1F43C	\xF0\x9F\x90\xBC
U+1F43D	\xF0\x9F\x90\xBD
U+1F43E	\xF0\x9F\x90\xBE
U+1F440	\xF0\x9F\x91\x80
U+1F442	\xF0\x9F\x91\x82
U+1F443	\xF0\x9F\x91\x83
U+1F444	\xF0\x9F\x91\x84
U+1F445	\xF0\x9F\x91\x85
U+1F446	\xF0\x9F\x91\x86
U+1F447	\xF0\x9F\x91\x87
U+1F448	\xF0\x9F\x91\x88
U+1F449	\xF0\x9F\x91\x89
U+1F44A	\xF0\x9F\x91\x8A
U+1F44B	\xF0\x9F\x91\x8B
U+1F44C	\xF0\x9F\x91\x8C
U+1F44D	\xF0\x9F\x91\x8D
U+1F44E	\xF0\x9F\x91\x8E
U+1F44F	\xF0\x9F\x91\x8F
U+1F450	\xF0\x9F\x91\x90
U+1F451	\xF0\x9F\x91\x91
U+1F452	\xF0\x9F\x91\x92
U+1F453	\xF0\x9F\x91\x93
U+1F454	\xF0\x9F\x91\x94
U+1F455	\xF0\x9F\x91\x95
U+1F456	\xF0\x9F\x91\x96
U+1F457	\xF0\x9F\x91\x97
U+1F458	\xF0\x9F\x91\x98
U+1F459	\xF0\x9F\x91\x99
U+1F45A	\xF0\x9F\x91\x9A
U+1F45B	\xF0\x9F\x91\x9B
U+1F45C	\xF0\x9F\x91\x9C
U+1F45D	\xF0\x9F\x91\x9D
U+1F45E	\xF0\x9F\x91\x9E
U+1F45F	\xF0\x9F\x91\x9F
U+1F460	\xF0\x9F\x91\xA0
U+1F461	\xF0\x9F\x91\xA1
U+1F462	\xF0\x9F\x91\xA2
U+1F463	\xF0\x9F\x91\xA3
U+1F464	\xF0\x9F\x91\xA4
U+1F466	\xF0\x9F\x91\xA6
U+1F467	\xF0\x9F\x91\xA7
U+1F468	\xF0\x9F\x91\xA8
U+1F469	\xF0\x9F\x91\xA9
U+1F46A	\xF0\x9F\x91\xAA
U+1F46B	\xF0\x9F\x91\xAB
U+1F46E	\xF0\x9F\x91\xAE
U+1F46F	\xF0\x9F\x91\xAF
U+1F470	\xF0\x9F\x91\xB0
U+1F471	\xF0\x9F\x91\xB1
U+1F472	\xF0\x9F\x91\xB2
U+1F473	\xF0\x9F\x91\xB3
U+1F474	\xF0\x9F\x91\xB4
U+1F475	\xF0\x9F\x91\xB5
U+1F476	\xF0\x9F\x91\xB6
U+1F477	\xF0\x9F\x91\xB7
U+1F478	\xF0\x9F\x91\xB8
U+1F479	\xF0\x9F\x91\xB9
U+1F47A	\xF0\x9F\x91\xBA
U+1F47B	\xF0\x9F\x91\xBB
U+1F47C	\xF0\x9F\x91\xBC
U+1F47D	\xF0\x9F\x91\xBD
U+1F47E	\xF0\x9F\x91\xBE
U+1F47F	\xF0\x9F\x91\xBF
U+1F480	\xF0\x9F\x92\x80
U+1F481	\xF0\x9F\x92\x81
U+1F482	\xF0\x9F\x92\x82
U+1F483	\xF0\x9F\x92\x83
U+1F484	\xF0\x9F\x92\x84
U+1F485	\xF0\x9F\x92\x85
U+1F486	\xF0\x9F\x92\x86
U+1F487	\xF0\x9F\x92\x87
U+1F488	\xF0\x9F\x92\x88
U+1F489	\xF0\x9F\x92\x89
U+1F48A	\xF0\x9F\x92\x8A
U+1F48B	\xF0\x9F\x92\x8B
U+1F48C	\xF0\x9F\x92\x8C
U+1F48D	\xF0\x9F\x92\x8D
U+1F48E	\xF0\x9F\x92\x8E
U+1F48F	\xF0\x9F\x92\x8F
U+1F490	\xF0\x9F\x92\x90
U+1F491	\xF0\x9F\x92\x91
U+1F492	\xF0\x9F\x92\x92
U+1F493	\xF0\x9F\x92\x93
U+1F494	\xF0\x9F\x92\x94
U+1F495	\xF0\x9F\x92\x95
U+1F496	\xF0\x9F\x92\x96
U+1F497	\xF0\x9F\x92\x97
U+1F498	\xF0\x9F\x92\x98
U+1F499	\xF0\x9F\x92\x99
U+1F49A	\xF0\x9F\x92\x9A
U+1F49B	\xF0\x9F\x92\x9B
U+1F49C	\xF0\x9F\x92\x9C
U+1F49D	\xF0\x9F\x92\x9D
U+1F49E	\xF0\x9F\x92\x9E
U+1F49F	\xF0\x9F\x92\x9F
U+1F4A0	\xF0\x9F\x92\xA0
U+1F4A1	\xF0\x9F\x92\xA1
U+1F4A2	\xF0\x9F\x92\xA2
U+1F4A3	\xF0\x9F\x92\xA3
U+1F4A4	\xF0\x9F\x92\xA4
U+1F4A5	\xF0\x9F\x92\xA5
U+1F4A6	\xF0\x9F\x92\xA6
U+1F4A7	\xF0\x9F\x92\xA7
U+1F4A8	\xF0\x9F\x92\xA8
U+1F4A9	\xF0\x9F\x92\xA9
U+1F4AA	\xF0\x9F\x92\xAA
U+1F4AB	\xF0\x9F\x92\xAB
U+1F4AC	\xF0\x9F\x92\xAC
U+1F4AE	\xF0\x9F\x92\xAE
U+1F4AF	\xF0\x9F\x92\xAF
U+1F4B0	\xF0\x9F\x92\xB0
U+1F4B1	\xF0\x9F\x92\xB1
U+1F4B2	\xF0\x9F\x92\xB2
U+1F4B3	\xF0\x9F\x92\xB3
U+1F4B4	\xF0\x9F\x92\xB4
U+1F4B5	\xF0\x9F\x92\xB5
U+1F4B8	\xF0\x9F\x92\xB8
U+1F4B9	\xF0\x9F\x92\xB9
U+1F4BA	\xF0\x9F\x92\xBA
U+1F4BB	\xF0\x9F\x92\xBB
U+1F4BC	\xF0\x9F\x92\xBC
U+1F4BD	\xF0\x9F\x92\xBD
U+1F4BE	\xF0\x9F\x92\xBE
U+1F4BF	\xF0\x9F\x92\xBF
U+1F4C0	\xF0\x9F\x93\x80
U+1F4C1	\xF0\x9F\x93\x81
U+1F4C2	\xF0\x9F\x93\x82
U+1F4C3	\xF0\x9F\x93\x83
U+1F4C4	\xF0\x9F\x93\x84
U+1F4C5	\xF0\x9F\x93\x85
U+1F4C6	\xF0\x9F\x93\x86
U+1F4C7	\xF0\x9F\x93\x87
U+1F4C8	\xF0\x9F\x93\x88
U+1F4C9	\xF0\x9F\x93\x89
U+1F4CA	\xF0\x9F\x93\x8A
U+1F4CB	\xF0\x9F\x93\x8B
U+1F4CC	\xF0\x9F\x93\x8C
U+1F4CD	\xF0\x9F\x93\x8D
U+1F4CE	\xF0\x9F\x93\x8E
U+1F4CF	\xF0\x9F\x93\x8F
U+1F4D0	\xF0\x9F\x93\x90
U+1F4D1	\xF0\x9F\x93\x91
U+1F4D2	\xF0\x9F\x93\x92
U+1F4D3	\xF0\x9F\x93\x93
U+1F4D4	\xF0\x9F\x93\x94
U+1F4D5	\xF0\x9F\x93\x95
U+1F4D6	\xF0\x9F\x93\x96
U+1F4D7	\xF0\x9F\x93\x97
U+1F4D8	\xF0\x9F\x93\x98
U+1F4D9	\xF0\x9F\x93\x99
U+1F4DA	\xF0\x9F\x93\x9A
U+1F4DB	\xF0\x9F\x93\x9B
U+1F4DC	\xF0\x9F\x93\x9C
U+1F4DD	\xF0\x9F\x93\x9D
U+1F4DE	\xF0\x9F\x93\x9E
